"sample","dab_name","count_dab","sample_group","count_pn","dab_to_pn_ratio","Loocation"
"SSW","DabA",0,"2021",72.5701950000001,0,"STATION_OG"
"SSW","DabB",0,"2021",72.5701950000001,0,"STATION_OG"
"SSW","DabC",0.027135,"2021",72.5701950000001,0.000373913836114123,"STATION_OG"
"SSW","DabD",0.001333,"2021",72.5701950000001,1.8368422463244e-05,"STATION_OG"
"SSW_B","DabA",0.002287,"2021",68.8590900000001,3.32127537555317e-05,"STATION_OG"
"SSW_B","DabB",0,"2021",68.8590900000001,0,"STATION_OG"
"SSW_B","DabC",0.010251,"2021",68.8590900000001,0.00014886923425796,"STATION_OG"
"SSW_B","DabD",0,"2021",68.8590900000001,0,"STATION_OG"
"VIO-12-4-RNA","DabA",0.031564,"2019",929.321570999996,3.39645618749983e-05,"BELCHER"
"VIO-12-4-RNA","DabB",0.034056,"2019",929.321570999996,3.66460879234236e-05,"BELCHER"
"VIO-12-4-RNA","DabC",0.056373,"2019",929.321570999996,6.06603803883944e-05,"BELCHER"
"VIO-12-4-RNA","DabD",0.019745,"2019",929.321570999996,2.12466821132252e-05,"BELCHER"
"VIO-30-2-RNA-2","DabA",0.242474,"2019",2478.23147799999,9.78415463416208e-05,"SVERDRUP"
"VIO-30-2-RNA-2","DabB",0.087998,"2019",2478.23147799999,3.55083860330178e-05,"SVERDRUP"
"VIO-30-2-RNA-2","DabC",0.194936,"2019",2478.23147799999,7.86593188451141e-05,"SVERDRUP"
"VIO-30-2-RNA-2","DabD",0.033412,"2019",2478.23147799999,1.34821949832404e-05,"SVERDRUP"
"VIO-30-8-RNA-2","DabA",0.476202,"2019",3882.59894599989,0.000122650319186486,"SVERDRUP"
"VIO-30-8-RNA-2","DabB",0.034875,"2019",3882.59894599989,8.98238537769412e-06,"SVERDRUP"
"VIO-30-8-RNA-2","DabC",0.305089,"2019",3882.59894599989,7.85785511826615e-05,"SVERDRUP"
"VIO-30-8-RNA-2","DabD",0.058185,"2019",3882.59894599989,1.49860958623981e-05,"SVERDRUP"
"VIO-32-6-RNA2","DabA",0.05275,"2019",1186.865402,4.44448038599074e-05,"SVERDRUP"
"VIO-32-6-RNA2","DabB",0,"2019",1186.865402,0,"SVERDRUP"
"VIO-32-6-RNA2","DabC",0.134514,"2019",1186.865402,0.000113335513676049,"SVERDRUP"
"VIO-32-6-RNA2","DabD",0.011355,"2019",1186.865402,9.56721796832699e-06,"SVERDRUP"
"VIO-44-5-RNA-2","DabA",0,"2019",79.6846230000001,0,"GRISE_FIORD"
"VIO-44-5-RNA-2","DabB",0,"2019",79.6846230000001,0,"GRISE_FIORD"
"VIO-44-5-RNA-2","DabC",0,"2019",79.6846230000001,0,"GRISE_FIORD"
"VIO-44-5-RNA-2","DabD",0,"2019",79.6846230000001,0,"GRISE_FIORD"
"VIO-6-5-RNA-1","DabA",0.027739,"2019",514.507781999996,5.39136646139207e-05,"JAKEMAN"
"VIO-6-5-RNA-1","DabB",0,"2019",514.507781999996,0,"JAKEMAN"
"VIO-6-5-RNA-1","DabC",0.033861,"2019",514.507781999996,6.5812415641947e-05,"JAKEMAN"
"VIO-6-5-RNA-1","DabD",0.00945,"2019",514.507781999996,1.83670691301615e-05,"JAKEMAN"
"VSM21-BL1-1","DabA",0.124827,"2021",783.517998000003,0.000159316059514436,"BELCHER"
"VSM21-BL1-1","DabB",0.026447,"2021",783.517998000003,3.37541703796317e-05,"BELCHER"
"VSM21-BL1-1","DabC",0.117905,"2021",783.517998000003,0.000150481546436665,"BELCHER"
"VSM21-BL1-1","DabD",0.013945,"2021",783.517998000003,1.77979319372316e-05,"BELCHER"
"VSM21-BL1-2_A","DabA",0.118249,"2021",1054.775681,0.000112108197155145,"BELCHER"
"VSM21-BL1-2_A","DabB",0.006303,"2021",1054.775681,5.97567815938298e-06,"BELCHER"
"VSM21-BL1-2_A","DabC",0.0717,"2021",1054.775681,6.7976538795456e-05,"BELCHER"
"VSM21-BL1-2_A","DabD",0.009316,"2021",1054.775681,8.83220969900235e-06,"BELCHER"
"VSM21-BL9-1","DabA",0.130338,"2021",457.908258,0.000284637801836716,"BELCHER"
"VSM21-BL9-1","DabB",0.007721,"2021",457.908258,1.68614561216321e-05,"BELCHER"
"VSM21-BL9-1","DabC",0.038854,"2021",457.908258,8.48510576544352e-05,"BELCHER"
"VSM21-BL9-1","DabD",0.00508,"2021",457.908258,1.10939252814261e-05,"BELCHER"
"VSM21-BL9-2","DabA",0.058529,"2021",1002.583149,5.83782004099891e-05,"BELCHER"
"VSM21-BL9-2","DabB",0,"2021",1002.583149,0,"BELCHER"
"VSM21-BL9-2","DabC",0.078621,"2021",1002.583149,7.84184335019179e-05,"BELCHER"
"VSM21-BL9-2","DabD",0.011615,"2021",1002.583149,1.15850740276106e-05,"BELCHER"
"VSM21-SV1-1_A","DabA",0.03146,"2021",2430.89376000001,1.29417420529311e-05,"SVERDRUP"
"VSM21-SV1-1_A","DabB",0.00977,"2021",2430.89376000001,4.0190978975568e-06,"SVERDRUP"
"VSM21-SV1-1_A","DabC",0.163713,"2021",2430.89376000001,6.73468346062146e-05,"SVERDRUP"
"VSM21-SV1-1_A","DabD",0.016734,"2021",2430.89376000001,6.88388784214079e-06,"SVERDRUP"
"VSM21-SV1-2_A","DabA",0.132546,"2021",1169.86706599999,0.000113300052503573,"SVERDRUP"
"VSM21-SV1-2_A","DabB",0.029492,"2021",1169.86706599999,2.52097019030026e-05,"SVERDRUP"
"VSM21-SV1-2_A","DabC",0.057865,"2021",1169.86706599999,4.94628848710581e-05,"SVERDRUP"
"VSM21-SV1-2_A","DabD",0.024459,"2021",1169.86706599999,2.09075036906802e-05,"SVERDRUP"
"VSM21-SV7-1_A","DabA",0.131404,"2021",2081.01576499998,6.31441636387608e-05,"SVERDRUP"
"VSM21-SV7-1_A","DabB",0.009998,"2021",2081.01576499998,4.80438455496279e-06,"SVERDRUP"
"VSM21-SV7-1_A","DabC",0.107046,"2021",2081.01576499998,5.14393027676082e-05,"SVERDRUP"
"VSM21-SV7-1_A","DabD",0.014437,"2021",2081.01576499998,6.93747747749528e-06,"SVERDRUP"
"VSM21-SV7-2","DabA",0.476202,"2021",3882.59894599989,0.000122650319186486,"SVERDRUP"
"VSM21-SV7-2","DabB",0.034875,"2021",3882.59894599989,8.98238537769412e-06,"SVERDRUP"
"VSM21-SV7-2","DabC",0.305089,"2021",3882.59894599989,7.85785511826615e-05,"SVERDRUP"
"VSM21-SV7-2","DabD",0.058185,"2021",3882.59894599989,1.49860958623981e-05,"SVERDRUP"
